	htid	intl_frac	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
482	uc1.b3796874	0.7305389221556888	0.723516834046269	Bennett, Arnold	Accident	1929	Fiction-Novel	Male	White	Britain	86389
183	mdp.39015011356758	0.7304785894206556	1.7799979099188201	Bennett, Arnold	The Grand Babylon Hotel: A Fantasia on Modern Themes	1902	Fiction-Novel	Male	White	Britain	83476
44	hvd.hn1ndc	0.7287066246056768	2.3094839609853577	Allen, Grant	Miss Cayley's Adventures	1899	Fiction-Novel	Male	White	Other	102746
359	pst.000021133824	0.7285714285714285	1.5184442883155502	Stevenson, Robert Louis	Treasure Island	1883	Fiction-Novel	Male	White	Britain	17254
201	mdp.39015016884994	0.7279411764705881	0.6054498073218061	Chesterton, G. K.	The Incredulity of Father Brown	1926	Fiction-Stories	Male	White	Britain	84072
50	hvd.hwpatg	0.7269565217391277	1.7650563401043065	Wells, H. G.	The Passionate Friends	1913	Fiction-Novel	Male	White	Britain	121927
537	uc2.ark:/13960/t1cj8gv9c	0.7217391304347822	0.5839237681754409	Conrad, Joseph	Within the Tides: Tales	1915	Fiction-Stories	Male	White	Europe	73711
341	osu.32435017894775	0.720574162679428	2.3950691798207444	Wells, H. G.	Mr. Britling Sees it Through	1916	Fiction-Novel	Male	White	Britain	163301
443	uc1.32106006956004	0.7196261682242987	0.6571073308050168	Mansfield, Katherine	The Aloe	1930	Fiction-Stories	Female	White	Australasia	60945
535	uc2.ark:/13960/t0wp9wh4k	0.7192982456140351	0.555361717745763	Mansfield, Katherine	In a German Pension	1911	Fiction-Novel	Female	White	Australasia	38414
334	nyp.33433081998340	0.71859296482412	1.070601707322164	Chesterton, G. K.	Manalive	1912	Fiction-Novel	Male	White	Britain	69569
120	mdp.39015002710260	0.7181208053691277	0.8955668688978602	Powell, Anthony	Venusberg	1932	Fiction-Novel	Male	White	Britain	62270
