	htid	spec_nongb_subcountry	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
381	pst.000057254876	0.6272727272727261	0.7304351705875587	Greene, Graham	A Gun for Sale	1936	Fiction-Novel	Male	White	Britain	89663
120	mdp.39015002711458	0.625	0.06950427412057583	Powys, Theodore Francis	Mockery Gap	1925	Fiction-Novel	Male	White	Britain	68530
449	uc1.32106014299330	0.6249999999999981	0.9692317517770602	Joyce, James	Portrait of An Artist as a Young Man	1916	Fiction-Novel	Male	White	Ireland	103201
53	inu.30000001017874	0.6243093922651937	1.4139149395359933	Christie, Agatha	Murder on the Orient Express	1934	Fiction-Novel	Female	White	Britain	76218
290	mdp.39015079184662	0.6242424242424253	0.7100436772305554	Conan Doyle, Arthur	The Return of Sherlock Holmes	1905	Fiction-Novel	Male	White	Britain	138357
384	uc1.$b104460	0.6239554317548742	1.9644088702088247	Ford, Ford Madox	Henry for Hugh: A Novel	1934	Fiction-Novel	Male	White	Britain	108809
151	mdp.39015005691608	0.6229508196721312	0.3494650117804647	James, Henry	The Sense of the Past	1917	Fiction-Novel	Male	White	Us	103927
278	mdp.39015066055271	0.621621621621622	0.6366529843031948	Household, Geoffrey	Rogue Male	1939	Fiction-Novel	Male	White	Britain	69204
274	mdp.39015061185768	0.6203208556149732	0.7026126906007509	Wells, H. G.	Kipps: The Story of a Simple Soul	1905	Fiction-Novel	Male	White	Britain	158463
534	uc2.ark:/13960/t10p12n34	0.6197183098591551	0.42690271011656183	Beerbohm, Max	Zuleika Dobson; or an Oxford Love Story	1911	Fiction-Novel	Male	White	Britain	99022
247	mdp.39015046789809	0.6195652173913043	0.5884289779409406	Meredith, George	Diana of the Crossways	1885	Fiction-Novel	Male	White	Britain	186177
410	uc1.$b56284	0.6195652173913042	0.39370069152852544	Aldington, Richard	Women Must Work	1934	Fiction-Novel	Male	White	Britain	139131
162	mdp.39015008311048	0.6190476190476191	1.0814055312137199	Chesterton, G. K.	The Napoleon of Notting Hill	1904	Fiction-Novel	Male	White	Britain	69372
479	uc1.b3759999	0.6185567010309273	0.478510981200088	Aldington, Richard	Very Heaven	1937	Fiction-Novel	Male	White	Britain	120693
437	uc1.32106005418808	0.6182965299684543	1.4643526077071447	Chesterton, G. K.	The Flying Inn	1914	Fiction-Stories	Male	White	Britain	128889
