	htid	spec_world_subcity	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
59	inu.30000048891463	0.3885542168674692	1.0095811009329647	Rolfe, Frederick	In His Own Image	1901	Fiction-Stories	Male	White	Britain	123080
5	coo.31924006118453	0.38823529411764723	0.3700906239541688	Carroll, Lewis	Sylvie and Bruno	1889	Fiction-Novel	Male	White	Britain	85961
262	mdp.39015054040400	0.38791732909380416	1.3927390801225652	Wells, H. G.	The New Machiavelli	1911	Fiction-Novel	Male	White	Britain	169033
143	mdp.39015004750959	0.3866171003717464	1.5039425180343664	Woolf, Virginia	Jacob's Room	1922	Fiction-Novel	Female	White	Britain	66944
316	mdp.49015001034074	0.38461538461538436	0.6889439535594396	Chesterton, G. K.	The Man Who Was Thursday: A Nightmare	1908	Fiction-Novel	Male	White	Britain	77686
313	mdp.49015001000182	0.3832335329341317	1.0413150702456213	Rhys, Jean	Voyage in the Dark	1934	Fiction-Novel	Female	White	Caribbean	60024
42	hvd.32044072024789	0.3831775700934587	0.6730543398583512	Huxley, Aldous	Limbo	1920	Fiction-Stories	Male	White	Britain	59501
500	uc1.b3865720	0.3831775700934577	1.0128967758687795	Waugh, Evelyn	Vile Bodies	1930	Fiction-Novel	Male	White	Britain	79075
392	uc1.$b243988	0.3829787234042558	0.17798086502287114	Powys, Theodore Francis	Mr. Weston's Good Wine	1927	Fiction-Novel	Male	White	Britain	98836
448	uc1.32106011381107	0.38175675675675663	0.9897204492077832	Stevenson, Robert Louis	The Master of Ballantrae	1889	Fiction-Novel	Male	White	Britain	111936
363	pst.000026767062	0.381250000000001	0.7140945862313774	Conan Doyle, Arthur	The Hound of the Baskervilles	1901	Fiction-Novel	Male	White	Britain	83860
141	mdp.39015004165125	0.38053097345132714	0.4691929800972151	Compton-Burnett, Ivy	Dolores	1911	Fiction-Novel	Female	White	Britain	90140
129	mdp.39015003448845	0.37817258883248733	0.6896171396326961	Huxley, Aldous	Point Counter Point	1928	Fiction-Novel	Male	White	Britain	213835
163	mdp.39015008194212	0.37623762376237646	1.2151910244803739	Maugham, William Somerset	The Making of a Saint	1898	Fiction-Novel	Male	White	Britain	93323
380	pst.000046763440	0.3758389261744966	1.1768903434899174	Kipling, Rudyard	Just So Stories	1902	Fiction-Stories	Male	White	South Asia	47385
55	inu.30000020646570	0.37537537537537563	0.8647778738002341	Maugham, William Somerset	The Merry-Go-Round	1904	Fiction-Novel	Male	White	Britain	144122
154	mdp.39015005775112	0.37500000000000033	1.0449063863025303	Waugh, Evelyn	Decline and Fall	1928	Fiction-Novel	Male	White	Britain	77369
214	mdp.39015030719531	0.375	2.3301156420763984	Wells, H. G.	The Adventures of Tommy	1929	Fiction-Stories	Male	White	Britain	1285
296	mdp.39076001009948	0.37446808510638285	1.0930651937091773	Joyce, James	Dubliners	1914	Fiction-Stories	Male	White	Ireland	80466
76	inu.32000004673150	0.3729281767955808	0.858395865717283	Hardy, Thomas	The Trumpet-Major	1880	Fiction-Novel	Male	White	Britain	157838
175	mdp.39015009283667	0.3714285714285714	0.26072006359561845	Compton-Burnett, Ivy	Brothers and Sisters	1929	Fiction-Novel	Female	White	Britain	100488
