htid,corpus,author,title,pub_date,genre,gender,white,origin_area,origin_nation,wordcount
uc1.b4538464,Prominent,"Conrad, Joseph",The Rescue,1920,Fiction-Novel,Male,White,Europe,Poland - England,159440
mdp.39015032333562,Prominent,"Munro, Hector Hugh",Beasts and Super-Beasts,1914,Fiction-Novel,Male,White,South Asia,Burma - England,73366
mdp.39015030738333,Prominent,"Firbank, [Arthur Annesley] Ronald",Inclinations,1916,Fiction-Novel,Male,White,Britain,England,34640
mdp.39015020699826,Prominent,"White, T. H.",The Sword in the Stone,1939,Fiction-Novel,Male,White,Britain,England,109578
mdp.39015020726702,Prominent,"Bowen, Elizabeth","The Cat Jumps, and Other Stories",1934,Fiction-Stories,Female,White,Ireland,Ireland - England,66556
mdp.39015046801612,Prominent,"Huxley, Aldous",Crome Yellow,1921,Fiction-Novel,Male,White,Britain,England,71359
mdp.39015030846771,Prominent,"Bowen, Elizabeth","Ann Lee's, and Other Stories",1926,Fiction-Stories,Female,White,Ireland,Ireland - England,63998
inu.32000004078566,Prominent,"Conrad, Joseph",A Set of Six,1908,Fiction-Stories,Male,White,Europe,Poland - England,101106
pst.000021133824,Prominent,"Stevenson, Robert Louis",Treasure Island,1883,Fiction-Novel,Male,White,Britain,Scotland,17254
hvd.hwjway,Prominent,"Galsworthy, John",Fraternity,1909,Fiction-Novel,Male,White,Britain,England,118078
coo1.ark:/13960/t14m9r09c,Prominent,"Galsworthy, John","The Little Man, and Other Stories",1915,Fiction-Stories,Male,White,Britain,England,64874
uc2.ark:/13960/t0pr7q78x,Prominent,"Ford, Ford Madox",The Panel: A Sheer Comedy,1912,Fiction-Novel,Male,White,Britain,England,87246
uc1.32106014473422,Prominent,"Rider Haggard, H.",King Solomon's Mines,1885,Fiction-Novel,Male,White,Britain,England,98337
coo.31924008035770,Prominent,"Wilde, Oscar",The Happy Prince and Other Tales,1888,Fiction-Stories,Male,White,Ireland,Ireland - England,60716
uc1.b3884572,Prominent,"Lewis, C. S.",The Pilgrim's Regress,1933,Fiction-Novel,Male,White,Britain,Northern Ireland,80611
uc1.b4095578,Prominent,"Green, Henry",Party Going,1939,Fiction-Novel,Male,White,Britain,England,74617
pst.000046763440,Prominent,"Kipling, Rudyard",Just So Stories,1902,Fiction-Stories,Male,White,South Asia,India - England,47385
mdp.49015000920166,Prominent,"Bowen, Elizabeth",The Hotel,1927,Fiction-Novel,Female,White,Ireland,Ireland - England,92768
uc1.32106006269275,Prominent,"Beckett, Samuel",More Pricks than Kicks,1933,Fiction-Stories,Male,White,Ireland,Ireland,63290
uc1.31822038204657,Prominent,"Firbank, [Arthur Annesley] Ronald","""Odette d'Antrevernes"" and ""A Study in Temperament""",1905,Fiction-Stories,Male,White,Britain,England,7226
inu.32000005550878,Prominent,"Chesterton, G. K.",The Scandal of Father Brown,1935,Fiction-Stories,Male,White,Britain,England,67933
uc1.32106005288425,Prominent,"Grossmith, George",The Diary of a Nobody,1894,Fiction-Novel,Male,White,Britain,England,55732
mdp.39015005041283,Prominent,"Chesterton, G. K.",The Wisdom of Father Brown,1912,Fiction-Novel,Male,White,Britain,England,85584
pst.000006721145,Prominent,"Walpole, Hugh",Mr. Perrin and Mr. Traill,1911,Fiction-Novel,Male,White,Britain,England,77631
mdp.39015002711490,Prominent,"Powys, Theodore Francis",The Left Leg,1923,Fiction-Stories,Male,White,Britain,England,91551
uc2.ark:/13960/t0wp9wh4k,Prominent,"Mansfield, Katherine",In a German Pension,1911,Fiction-Novel,Female,White,Australasia,New Zealand,38414
mdp.39015002711649,Prominent,"Powys, Theodore Francis",Captain Patch: Twenty-One Stories,1935,Fiction-Stories,Male,White,Britain,England,64317
mdp.49015000991985,Prominent,"Lewis, Wyndham",The Childermass: Section 1,1928,Fiction-Novel,Male,White,Other,Canada - Britain,138132
mdp.39015030719622,Prominent,"Wells, H. G.","The Plattner Story, and Others",1897,Fiction-Stories,Male,White,Britain,England,92767
uc1.31175005812105,Prominent,"Huxley, Aldous",Mortal Coils,1922,Fiction-Stories,Male,White,Britain,England,48857
uc1.b5336132,Prominent,"Mansfield, Katherine","Bliss, and Other Stories",1920,Fiction-Stories,Female,White,Australasia,New Zealand,79284
mdp.39015092894172,Prominent,"Douglas, Norman [George]",Unprofessional Tales,1901,Fiction-Stories,Male,White,Europe,Austria - Britain,57318
hvd.32044010105435,Prominent,"Barrie, J. M.",Peter Pan in Kensington Gardens,1906,Fiction-Novel,Male,White,Britain,Scotland,27762
inu.39000004309766,Prominent,"Chesterton, G. K.",The Paradoxes of Mr. Pond,1937,Fiction-Stories,Male,White,Britain,England,62561
uc2.ark:/13960/t3xs5n992,Prominent,"Ashford, Daisy",The Young Visiters,1919,Fiction-Novel,Female,White,Britain,England,16057
mdp.49015000993924,Prominent,"Maugham, William Somerset",Liza of Lambeth,1897,Fiction-Novel,Male,White,Britain,England,47580
mdp.39015002299934,Prominent,"Wells, H. G.",Things to Come,1936,Fiction-Novel,Male,White,Britain,England,52179
mdp.39015003681916,Prominent,"Galsworthy, John",A Motley,1910,Fiction-Stories,Male,White,Britain,England,54672
uc1.$b794738,Prominent,"Firbank, [Arthur Annesley] Ronald",Caprice,1917,Fiction-Novel,Male,White,Britain,England,25959
pst.000029198023,Prominent,"Lewis, C. S.",Out of the Silent Planet,1938,Fiction-Novel,Male,White,Britain,Northern Ireland,66791
mdp.39015016884994,Prominent,"Chesterton, G. K.",The Incredulity of Father Brown,1926,Fiction-Stories,Male,White,Britain,England,84072
hvd.32044004999371,Prominent,"Wells, H. G.",The History of Mr. Polly,1910,Fiction-Novel,Male,White,Britain,England,83627
njp.32101068574464,Prominent,"Lawrence, D. H.",The Prussian Officer and Other Stories,1914,Fiction-Stories,Male,White,Britain,England,102539
uc1.32106001975207,Prominent,"Compton-Burnett, Ivy",Men and Wives,1931,Fiction-Novel,Female,White,Britain,England,114469
inu.39000002572209,Prominent,"Firbank, [Arthur Annesley] Ronald",Concerning the Eccentricites of Cardinal Pirelli,1926,Fiction-Novel,Male,White,Britain,England,23589
uc1.b4088177,Prominent,"Nesbit, Edith",The Railway Children,1906,Fiction-Novel,Female,White,Britain,England,74704
