	htid	occurs_100k	weight	author	title	pub_date_y	genre_y	gender	white	origin_area	wordcount
363	pst.000026767062	190.79418077748585	1	Conan Doyle, Arthur	The Hound of the Baskervilles	1901	Fiction-Novel	Male	White	Britain	83860
9	coo.31924013216837	190.37513263841214	1	Richardson, Dorothy	Honeycomb	1917	Fiction-Novel	Female	White	Britain	64084
510	uc1.b4091384	190.34973826910962	1	Lawrence, D. H.	The Lost Girl	1920	Fiction-Novel	Male	White	Britain	170213
97	inu.39000004309766	190.2143507936259	1	Chesterton, G. K.	The Paradoxes of Mr. Pond	1937	Fiction-Stories	Male	White	Britain	62561
483	uc1.b3796882	189.12818009883492	1	Bennett, Arnold	Elsie and the Child	1924	Fiction-Stories	Male	White	Britain	114737
20	coo.31924014172187	188.0521297997026	1	Woolf, Virginia	Kew Gardens	1919	Fiction-Stories	Female	White	Britain	22866
437	uc1.32106002021704	187.60236240011866	1	Williams, Charles	War in Heaven	1930	Fiction-Novel	Male	White	Britain	100745
536	uc2.ark:/13960/t10p12n34	186.82716971986	1	Beerbohm, Max	Zuleika Dobson; or an Oxford Love Story	1911	Fiction-Novel	Male	White	Britain	99022
348	pst.000005348527	186.5372024361016	1	Conrad, Joseph	The Inheritors: An Extravagant Story	1901	Fiction-Novel	Male	White	Europe	80949
248	mdp.39015046387364	185.43324665773645	1	Wells, H. G.	Country of the Blind	1911	Fiction-Stories	Male	White	Britain	190365
218	mdp.39015030719622	185.410760291914	1	Wells, H. G.	The Plattner Story, and Others	1897	Fiction-Stories	Male	White	Britain	92767
314	mdp.49015001002139	185.2877126933153	1	Sayers, Dorothy	The Nine Tailors	1934	Fiction-Novel	Female	White	Britain	135465
244	mdp.39015041313043	184.27627265800788	1	Huxley, Aldous	Antic Hay	1923	Fiction-Novel	Male	White	Britain	112874
129	mdp.39015003448845	184.25421469824875	1	Huxley, Aldous	Point Counter Point	1928	Fiction-Novel	Male	White	Britain	213835
421	uc1.31175005812105	184.21106494463461	1	Huxley, Aldous	Mortal Coils	1922	Fiction-Stories	Male	White	Britain	48857
316	mdp.49015001034074	184.0743505908402	1	Chesterton, G. K.	The Man Who Was Thursday: A Nightmare	1908	Fiction-Novel	Male	White	Britain	77686
136	mdp.39015003681411	182.90789034729448	1	Galsworthy, John	The Island Pharisees	1904	Fiction-Novel	Male	White	Britain	86929
228	mdp.39015030846771	182.81821306915825	1	Bowen, Elizabeth	Ann Lee's, and Other Stories	1926	Fiction-Stories	Female	White	Ireland	63998
355	pst.000019367736	182.75440524554492	1	Conrad, Joseph	Typhoon and Other Stories	1903	Fiction-Stories	Male	White	Europe	161966
15	coo.31924013586585	181.7852943836486	1	Bennett, Arnold	Clayhanger	1910	Fiction-Novel	Male	White	Britain	110570
42	hvd.32044072024789	179.8289104384798	1	Huxley, Aldous	Limbo	1920	Fiction-Stories	Male	White	Britain	59501
157	mdp.39015005971810	179.7680372429783	1	Lehmann, Rosamond	The Weather in the Streets: A Novel	1936	Fiction-Novel	Female	White	Britain	161319
558	uiug.30112042040854	178.92948646541203	1	Sinclair, May	Mary Olivier, A Life	1919	Fiction-Novel	Female	White	Britain	143632
470	uc1.b3346991	178.65916298182137	1	Richardson, Dorothy	The Trap	1925	Fiction-Novel	Female	White	Britain	44778
451	uc1.32106014299330	178.29284599955457	1	Joyce, James	Portrait of An Artist as a Young Man	1916	Fiction-Novel	Male	White	Ireland	103201
412	uc1.$b56284	178.24927586231735	1	Aldington, Richard	Women Must Work	1934	Fiction-Novel	Male	White	Britain	139131
425	uc1.32106001938288	178.16527672479265	1	Hardy, Thomas	Wessex Tales	1888	Fiction-Novel	Male	White	Britain	184660
250	mdp.39015046801612	177.97334603904233	1	Huxley, Aldous	Crome Yellow	1921	Fiction-Novel	Male	White	Britain	71359
509	uc1.b4089521	177.92275187189557	1	Beerbohm, Max	The Happy Hypocrite: A Fairy Tale for Tired Men	1897	Fiction-Stories	Male	White	Britain	13489
212	mdp.39015028687088	177.22640673460361	1	Wells, H. G.	The Stolen Bacillus, and Other Incidents	1895	Fiction-Stories	Male	White	Britain	51911
281	mdp.39015066069033	176.61403352425947	1	Stevenson, Robert Louis	The New Arabian Nights	1882	Fiction-Stories	Male	White	Britain	123433
445	uc1.32106008792647	176.19638198691365	1	James, Henry	The Aspern Papers and The Turn of the Screw	1888	Fiction-Novel	Male	White	Us	116915
