	htid	pub_date_htrc	title_htrc
887	mdp.39015032438247	1980	The foolish virgin/Penn, Margaret.
888			
889			
890			
891			
892			
893			
894			
895			
896	mdp.49015002980606	1990	Bethlehem Road/Perry, Anne.
897			
898			
899			
900			
901			
902	mdp.49015002968049	1994	The Hyde Park headsman/Perry, Anne.
903			
904	mdp.49015002968031	1997	The silent cry/Perry, Anne.
905			
906			
907			
908			
909			
910	inu.30000009160684	1965	The dwarfs/Pinter, Harold,
911	mdp.39015032447693	1994	Annunciation/Plante, David.
912			
913			
914			
915	mdp.39015005658284	1931	Afternoon men/Powell, Anthony,
916	uc1.b3929734	1955	The acceptance world;/Powell, Anthony,
917			
918			
919	inu.39000003817223	1930	Angel pavement/(John Boynton), Priestley, J. B.
920	mdp.39015002712027	1936	They walk in the city;/(John Boynton), Priestley, J. B.
921			
922	pst.000005637072	1895	A street in Suburbia/Pugh, Edwin,
923			
924			
925			
926	nyp.33433075771752	1903	The stumbling-block/Pugh, Edwin,
927			
928			
929	uiug.30112069651054	1906	The spoilers/Pugh, Edwin,
930			
931			
932			
933			
934			
935			
936			
937			
938			
939	inu.39000003837593	1916	Slings and arrows/Pugh, Edwin,
940			
941			
942	mdp.39015063946761		
943			
944			
945	mdp.39015019996431	1989	When the monster dies/Pullinger, Kate.
946			
947	uc1.32106007995209	1955	Less than angels/Pym, Barbara.
948	mdp.39015005264588	1958	A glass of blessings/Pym, Barbara.
949	mdp.39015013934156	1981	No fond return of love/Pym, Barbara.
950	mdp.39015005023232	1977	Quartet in autumn/Pym, Barbara.
951	mdp.39015046800887	1978	The sweet dove died / Barbara Pym/Pym, Barbara.
952			
953			
954			
955			
956			
957			
958			
959			
960			
961	uc2.ark:/13960/t6ww7bz4r	1922	Tell England;/Raymond, Ernest,
962			
963	uc1.$b63669	1935	We, the accused;/Raymond, Ernest,
964			
965	uc1.$b104969	1937	The marsh;/Raymond, Ernest,
966			
967			
968			
969			
970			
971			
972	uc1.$b787324	1951	A chorus ending/Raymond, Ernest,
973			
974			
975			
976			
977	mdp.39015000607716	1974	The old June weather/Raymond, Ernest,
978			
979			
980	uc1.$b63669	1935	We, the accused;/Raymond, Ernest,
981			
982			
983			
984			
985	inu.39000000597984	1973	Gower Street/Rayner, Claire.
986			
987			
988			
989			
990			
991			
992			
993			
994			
995			
996			
997			
998			
999			
1000	pst.000012506781	1977	A demon in my view/Rendell, Ruth,
1001	uc1.32106013036931	1996	The keys to the street/Rendell, Ruth,
1002			
1003			
1004			
1005			
1006			
1007			
1008	mdp.39015002714957	1919	The tunnel/Richardson, Dorothy M. (Dorothy Miller),
1009	mdp.39015002715194	1919	Interim/Richardson, Dorothy M. (Dorothy Miller),
