	a_last	a_first	htid	pub_date	title	imprint	genre	genre_notes	gender_guess	gender_known	white	race	origin_area	origin_nation	origin_notes	religion	uni_degree	bib_source	notes	entered	ignore	notes_ignore	pub_date_htrc	title_htrc
900	Perry 	Anne		1993.0	A Suggen, Fearful Death									Britain - England				DKM Snell						
901	Perry 	Anne		1993.0	Farriers' Lane									Britain - England				DKM Snell						
902	Perry 	Anne	mdp.49015002968049	1994.0	The Hyde Park Headsman									Britain - England				DKM Snell					1994	The Hyde Park headsman/Perry, Anne.
903	Perry 	Anne		1996.0	Pentecost Alley									Britain - England				DKM Snell						
904	Perry 	Anne	mdp.49015002968031	1997.0	The Silent Cry									Britain - England				DKM Snell					1997	The silent cry/Perry, Anne.
905	Peters	Maureen		1973.0	The Maid of Judah									Britain - Wales				DKM Snell						
906	Petit	Christopher		1994.0	Robinson									Britain - England				DKM Snell						
907	Philips	Watts		1862.0	Canary Bird: a Story of Town Life in the Seventeenth Century									Britain - England				DKM Snell						
908	Phillips	Mike		1990.0	The Late Candidate									Guiana				DKM Snell						
909	Pinero	Arthur Wing		1922.0	The Freaks: An Idyll of Suburbia	%	Drama											Literary London	Volume 7, issue 1, Heterotropic Suburbia in Edwardian Drama, Rudolf Weiss	Patrick Evans				
910	Pinter	Harold	inu.30000009160684	1990.0	The Dwarfs									Britain - England				DKM Snell					1965	The dwarfs/Pinter, Harold,
911	Plante	David	mdp.39015032447693	1994.0	Annunciation									American				DKM Snell					1994	Annunciation/Plante, David.
912	Pope	Pamela		1990.0	The Rich Pass By									Unknown				DKM Snell						
913	Potter	Jeremy		1965.0	Death in Office									Britain - England				DKM Snell						
914	Potter	Jeremy		1992.0	The Primrose Hill Murder									Britain - England				DKM Snell						
915	Powell 	Anthony	mdp.39015005658284	1931.0	Afternoon Men									Britain - England				DKM Snell					1931	Afternoon men/Powell, Anthony,
916	Powell 	Anthony	uc1.b3929734	1956.0	The Acceptance World									Britain - England				DKM Snell					1955	The acceptance world;/Powell, Anthony,
917	Prest	Thomas P.		1846.0	The Old House of West Street; or, London in the Last Century. A Romantic Tale									Britain - England				DKM Snell						
918	Priestley	J.B.		1930.0	Angel Pavement	%	Fiction-Novel											Literary London	Volume 9, issue 1, London in Middlebrow Fiction, Kate Macdonald	Patrick Evans				
919	Priestley	J. B.	inu.39000003817223	1930.0	Angel Pavement									Britain - England				DKM Snell					1930	Angel pavement/(John Boynton), Priestley, J. B.
920	Priestley	J. B.	mdp.39015002712027	1936.0	They Walk the City									Britain - England				DKM Snell					1936	They walk in the city;/(John Boynton), Priestley, J. B.
921	Prince	Peter		1998.0	Waterloo Story									Britain - England				DKM Snell						
922	Pugh	Edwin	pst.000005637072	1895.0	A Street in Suburbia									Britain - England				DKM Snell					1895	A street in Suburbia/Pugh, Edwin,
923	Pugh	Edwin		1896.0	A Man of Straw									Britain - England				DKM Snell						
924	Pugh	Edwin		1898.0	Tony Drum: a Cockney Boy									Britain - England				DKM Snell						
925	Pugh	Edwin		1900.0	Mother-Sister									Britain - England				DKM Snell						
926	Pugh	Edwin	nyp.33433075771752	1903.0	The Stumbling Block									Britain - England				DKM Snell					1903	The stumbling-block/Pugh, Edwin,
927	Pugh	Edwin		1904.0	The Fruit of the Vine									Britain - England				DKM Snell						
928	Pugh	Edwin		1905.0	The Purple Head									Britain - England				DKM Snell						
929	Pugh	Edwin	uiug.30112069651054	1906.0	The Spoilers									Britain - England				DKM Snell					1906	The spoilers/Pugh, Edwin,
930	Pugh	Edwin		1907.0	The Shuttlecocks									Britain - England				DKM Snell						
931	Pugh	Edwin		1908.0	The Enchanttress									Britain - England				DKM Snell						
932	Pugh	Edwin		1908.0	The Broken Honeymood									Britain - England				DKM Snell						
933	Pugh	Edwin		1909.0	Peter Vandy									Britain - England				DKM Snell						
934	Pugh	Edwin		1913.0	Punch and Judy									Britain - England				DKM Snell						
935	Pugh	Edwin		1913.0	The Proof of the Pudding									Britain - England				DKM Snell						
