	author	london_frac	weight	pub_date_avg	books	wordcount	ethnicity	corpus
4093	Twitchell, Alice Bentley.	0.9523809523809524	0.8818403555640689	1899.0	1	29530		Hathi
1660	Grant, Maria M.	0.9516129032258065	1.544563677071405	1882.0	1	49776		Hathi
2692	Margueritte, V.	0.9444444444444444	0.22139098563046128	1913.0	1	100820		Hathi
1111	Dickens, Mary Angela.	0.9444444444444444	0.4483226378625566	1891.0	1	49787		Hathi
2782	McCarthy, Justin H.	0.9421965317919074	4.899311282938515	1895.0	1	43787		Hathi
2749	Matters, Leonard.	0.9410256410256409	7.404670638025197	1929.0	1	65312		Hathi
4307	Williams, Charles,	0.9393939393939396	0.4605180320955935	1937.0	1	88859		Hathi
3937	Syrett, Netta.	0.9393939393939394	0.7219557138014919	1903.0	1	56681		Hathi
3403	Rendall, Vernon Horace,	0.9382239382239383	4.3643048914837035	1917.0	1	73590		Hathi
1835	Harrison, Charles Yale,	0.9375000000000001	0.45656682971819473	1930.0	1	43456		Hathi
2204	Jocelyn, Robert,	0.9374999999999999	1.0089279507873823	1893.0	1	39330		Hathi
982	Curtois, Margaret Anne.	0.9359079893697422	0.5361359875233719	1890.0	2	144508		Hathi
193	Austin, Stella,	0.9310344827586208	0.8160535043439283	1881.0	1	44067		Hathi
3611	Sellers, Charles.	0.9285714285714286	2.015896459881167	1888.0	1	43059		Hathi
3996	Thomas, J. Meredith.	0.9285714285714286	0.326417168998865	1883.0	1	53185		Hathi
427	Blake, Paul.	0.9285714285714286	0.5187037895725787	1886.0	1	33469		Hathi
3027	Nicholson, Claud.	0.9285714285714285	0.47571477477371693	1896.0	1	72987		Hathi
2380	Lane, John,	0.9252873563218391	2.288907757362604	1910.0	1	94266		Hathi
1003	Dane, Coventry.	0.9230769230769231	1.0843116717353884	1886.0	1	14867		Hathi
1563	Gibson, Ashley.	0.923076923076923	0.8705763149370859	1914.0	1	18517		Hathi
3936	Syrett, Netta,	0.9215328467153285	11.418912102403118	1922.0	1	59510		Hathi
1935	Hémon, Louis,	0.9210526315789472	1.6126126986723504	1924.0	1	58441		Hathi
2859	Miller, Joaquin,	0.9166666666666666	0.3117233558357509	1893.0	1	47736		Hathi
3041	Nomad,	0.9142857142857141	0.7793363769619609	1890.0	1	55690		Hathi
70	Adams, Herbert,	0.9130434782608697	1.9360823774598246	1926.0	1	73656		Hathi
4293	Wilcox, Ella Wheeler,	0.9130434782608694	0.41726382137810447	1892.0	1	68352		Hathi
2941	Morrison, Steinie,	0.9113924050632914	2.912941500545779	1922.0	1	168151		Hathi
41	(Ralph Hale), Mottram, R. H.	0.9090909090909092	0.8187509366543089	1930.0	1	16660		Hathi
2857	Miller, George Noyes,	0.9090909090909091	0.47549031284765875	1891.0	1	28687		Hathi
1340	Fawcett, E. Douglas	0.9080459770114943	2.5471157909992126	1893.0	1	42355		Hathi
2580	M. de (Bernard Le Bovier), Fontenelle,	0.9047619047619048	0.7165862878317819	1929.0	1	36340		Hathi
835	Cole, Sophie,	0.9032821255355196	8.26518655029866	1919.0	2	137402		Hathi
3864	Story, Alfred Thomas,	0.9	0.27880376588228006	1889.0	1	44477		Hathi
3848	Stevens, Frank,	0.9	0.265185840660939	1903.0	1	46761		Hathi
853	Colmore, G.	0.8999999999999999	0.8941918920615944	1894.0	1	41603		Hathi
3814	Stawell, Maud Margaret Key,	0.8999999999999999	0.7934957667666722	1912.0	1	31255		Hathi
3571	Savage, Richard,	0.8972972972972976	1.2327456514460648	1895.0	1	186094		Hathi
846	Collins, Mabel,	0.8947368421052634	1.1494133418273837	1893.0	1	40996		Hathi
3906	Sullivan, James Frank,	0.8947368421052633	0.592103204975377	1900.0	1	79583		Hathi
839	Collier, John,	0.8928571428571429	1.181106720631672	1934.0	1	29397		Hathi
4081	Tuer, Andrew White,	0.8910505836575898	3.623773377891109	1899.0	1	87944		Hathi
2352	L'Oiseau, Amelie.	0.888888888888889	1.4259959434769223	1899.0	1	23479		Hathi
1104	Devi, Shovona.	0.8888888888888888	0.19607715635882414	1915.0	1	56918		Hathi
442	Blot,	0.8888888888888886	0.9706735886611486	1881.0	1	45990		Hathi
1500	Gallon, Tom,	0.8855050869743556	1.63470624017832	1899.5	2	175221		Hathi
2544	Lowry, Henry Dawson,	0.8846153846153847	1.0568368980030827	1896.0	1	30507		Hathi
1796	Hamilton, Patrick,	0.8842443729903537	1.590792459004341	1935.0	1	242427		Hathi
