	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2760	Mathers, Helen,	7.0	1.0	1888.857142857143	7	720879		Hathi
129	Andersen, H. C.	7.0	1.0	1902.142857142857	7	1628150		Hathi
494	Bowen, Marjorie,	7.0	1.0	1916.4285714285713	7	781817		Hathi
1624	Goldsmith, Oliver,	7.0	1.0	1897.5714285714287	7	1179048		Hathi
2687	Manhood, H. A. (Harold Alfred),	7.0	1.0	1932.7142857142858	7	542790		Hathi
2554	Lover, Samuel,	7.0	1.0	1900.142857142857	7	979923		Hathi
3138	Oxenham, John,	7.0	1.0	1913.857142857143	7	737405		Hathi
828	Cobb, Thomas,	7.0	1.0	1901.0	7	400423		Hathi
105	Alexander,	7.0	1.0	1888.7142857142858	7	1161052		Hathi
1083	Delafield, E. M.,	7.0	1.0	1928.7142857142858	7	666719		Hathi
99	Aldington, Richard,	7.0	1.0	1931.5714285714287	7	651314		Hathi
1079	Deeping, Warwick,	7.0	1.0	1916.857142857143	7	786608		Hathi
1411	Fletcher, J. S.	7.0	1.0	1904.5714285714287	7	448771		Hathi
4180	Von Arnim, Elizabeth,	7.0	1.0	1910.4285714285713	7	643657		Hathi
3738	Sladen, Douglas Brooke Wheelton,	7.0	1.0	1907.857142857143	7	1070019		Hathi
2685	Malory, Thomas,	7.0	1.0	1900.857142857143	7	1162448		Hathi
144	Apuleius.	7.0	1.0	1918.5714285714287	7	421114		Hathi
4475	graf, Tolstoy, Leo,	7.0	1.0	1931.857142857143	7	1003366		Hathi
3455	Riddell, J. H., Mrs.,	7.0	1.0	1900.0	7	1262012		Hathi
372	Beresford, J. D. (John Davys),	7.0	1.0	1927.7142857142858	7	673098		Hathi
3969	Tagore, Rabindranath,	7.0	1.0	1920.0	7	575799		Hathi
180	Atherton, Gertrude Franklin Horn,	7.0	1.0	1904.4285714285713	7	608552		Hathi
2588	Lyons, A. Neil	7.0	1.0	1913.7142857142858	7	513454		Hathi
2695	Manning, Anne,	7.0	1.0	1899.5714285714287	7	486556		Hathi
517	Bray,	7.0	1.0	1884.0	7	1009941		Hathi
435	Blatchford, Robert,	6.0	1.0	1902.3333333333333	6	284634		Hathi
623	Burnett, Frances Hodgson,	6.0	1.0	1890.0	6	471617		Hathi
1995	Hogg, James,	6.0	1.0	1899.3333333333333	6	1568642		Hathi
1615	Goethe, Johann Wolfgang von,	6.0	1.0	1907.0	6	1103461		Hathi
4117	Turner, Ethel,	6.0	1.0	1906.3333333333333	6	311230		Hathi
3272	Poe, Edgar Allan,	6.0	1.0	1906.5	6	700333		Hathi
1569	Gibbs, Philip,	6.0	1.0	1923.8333333333333	6	804002		Hathi
1361	Feuchtwanger, Lion,	6.0	1.0	1930.3333333333333	6	909867		Hathi
1318	Ewing, Juliana Horatia,	6.0	1.0	1910.5	6	528761		Hathi
2763	Mathew, Frank James,	6.0	1.0	1897.1666666666667	6	339688		Hathi
2919	Montgomery, Florence,	6.0	1.0	1888.0	6	430723		Hathi
371	Beresford, J. D.	6.0	1.0	1915.6666666666667	6	621963		Hathi
2660	Macquoid, Katharine S.	6.0	1.0	1886.6666666666667	6	355708		Hathi
1843	Harris, Frank,	6.0	1.0	1907.3333333333333	6	513709		Hathi
4281	Westall, William,	6.0	1.0	1889.6666666666667	6	550373		Hathi
2046	Houghton, Claude,	6.0	1.0	1931.3333333333333	6	287619		Hathi
