	author	occurs_100k	weight	pub_date_avg	books	wordcount	ethnicity	corpus
2208	Jerrold, Douglas William,	338.3585479364987	3.0	1890.6666666666667	3	320248		Hathi
3224	Pervent͡sev, Arkadiĭ Alekseevich,	338.2742362591223	1.0	1939.0	1	123864		Hathi
2763	Mathew, Frank James,	337.86987283461355	6.0	1897.1666666666667	6	339688		Hathi
3572	Saki,	337.8042892411632	9.0	1919.0	9	650578		Hathi
2217	Joad, C. E. M.	337.74073009485437	1.0	1922.0	1	83496		Hathi
1490	Fryer, Alfred Cooper.	337.0975897522332	1.0	1908.0	1	29665		Hathi
1315	Ewart, Wilfrid,	336.96063638641897	1.0	1921.0	1	187559		Hathi
944	Creighton, Basil,	336.639985660595	1.0	1917.0	1	178529		Hathi
2593	Lytton, Edward Bulwer Lytton,	336.50715411386994	13.0	1884.1538461538462	13	2794941		Hathi
4321	Wiggin, Kate Douglas Smith,	336.4613571154301	3.0	1906.0	3	155467		Hathi
2109	Hutchison, William G.,	336.35350753642103	1.0	1898.0	1	47569		Hathi
3529	Rowlands, Daniel,	336.0563919018607	1.0	1892.0	1	36601		Hathi
4105	Trégance, Louis.	335.97838932973207	1.0	1894.0	1	59230		Hathi
4065	Tolstoĭ, Ilʹi͡a Lʹvovich,	335.74259734203866	1.0	1914.0	1	85780		Hathi
4451	[Bowen, C E ]	335.7059922257564	1.0	1881.0	1	39618		Hathi
4149	Veer, Willem de,	335.6647097369504	1.0	1915.0	1	74777		Hathi
2195	Jelf, Wilfrid,	334.97884344146706	1.0	1935.0	1	39704		Hathi
2000	Hole, Hugh Marshall,	334.97432300377307	2.0	1929.0	2	110453		Hathi
188	Austin, Alfred,	334.9375982467688	2.0	1897.0	2	89334		Hathi
1867	Harvey, William,	334.6945648970672	1.0	1906.0	1	95012		Hathi
1263	Elckert, Edith,	334.51261649436196	1.0	1908.0	1	72643		Hathi
1682	Green, John.	334.26625723771383	1.0	1885.0	1	88253		Hathi
3071	Noyes, Alfred,	333.9982856708091	3.0	1923.0	3	180976		Hathi
2802	McCarthy, Justin,	333.9805162091704	5.0	1896.6	5	668557		Hathi
1215	Dunsterville, L. C. (Lionel Charles),	333.96912478526974	2.0	1928.0	2	188056		Hathi
1872	Haufe, Ewald,	333.9289375787237	1.0	1902.0	1	68278		Hathi
4135	Vaka, Demetra,	333.81107100878455	3.0	1911.3333333333333	3	213531		Hathi
598	Buchanan, Robert Williams,	333.67679999938633	7.0	1890.7142857142858	7	507896		Hathi
1804	Hamilton, Cosmo,	333.5651436854428	2.0	1922.5	2	243707		Hathi
2662	Maginn, William,	333.0771201639759	1.0	1933.0	1	50739		Hathi
1041	Davis, Rebecca Harding,	332.9314559391196	1.0	1892.0	1	90409		Hathi
4033	Thompson, Mary Wolfe,	332.69276963728106	1.0	1935.0	1	83260		Hathi
2270	Keary, C. F.	332.677929457078	2.0	1895.5	2	185362		Hathi
3516	Rose, Héloïse Durant.	332.6057582371901	1.0	1899.0	1	57726		Hathi
1081	Dehan, Richard,	332.2259038297307	3.0	1907.0	3	304131		Hathi
690	Carlyle, Thomas,	332.21398450222296	5.0	1897.8	5	806259		Hathi
3993	Taylor, Susette M	332.2039500867716	1.0	1909.0	1	121010		Hathi
715	Castle, Agnes (Sweetman),	332.0427681341508	1.0	1907.0	1	78002		Hathi
4162	Veselitskai͡a, Lidii͡a Ivanovna,	332.02807802659856	1.0	1915.0	1	55417		Hathi
751	Chatterji, Bankim Chandra,	331.950207468881	1.0	1884.0	1	71095		Hathi
3338	Pullen, H. W.	331.85840707964604	1.0	1914.0	1	7232		Hathi
1868	Harwood, John Berwick.	331.25923273199413	1.0	1886.0	1	44678		Hathi
14	(Dorothy Leigh), Sayers, Dorothy L.	330.71308658342474	1.0	1931.0	1	138791		Hathi
710	Casserly, Gordon.	330.6050761654409	1.0	1921.0	1	87113		Hathi
540	Brod, Max,	330.43736541174786	1.0	1930.0	1	107736		Hathi
1279	Ellwood, Thomas,	330.19917333114716	1.0	1885.0	1	85403		Hathi
1730	Grimshaw, Beatrice Ethel.	330.0576401845606	6.0	1921.3333333333333	6	597460		Hathi
3112	Omar Khayyam.	330.03300330033005	1.0	1889.0	1	29997		Hathi
1442	Fothergill, John M.	329.9533236761615	1.0	1884.0	1	74556		Hathi
2681	Mallock, W. H.	329.71634751210416	9.0	1895.6666666666667	9	1056199		Hathi
1735	Grossi, Tommaso,	329.7046199859884	1.0	1881.0	1	169849		Hathi
3649	Seymour, Beatrice Kean (Stapleton)	329.6630843278174	1.0	1920.0	1	151670		Hathi
1877	Haviland, Maud D.	329.6594624983662	2.0	1914.0	2	174035		Hathi
390	Bickerdyke, John,	329.59423902506546	1.0	1894.0	1	36105		Hathi
966	Crowley, Aleister,	329.3906273394223	1.0	1929.0	1	20037		Hathi
1222	Dutt, Shoshee Chunder,	329.1483552486504	2.0	1885.0	2	245041		Hathi
2481	Lester, Emma Service.	329.06530089628615	1.0	1915.0	1	78100		Hathi
2433	Le Blond, Elizabeth Alice Frances Hawkins-Whitshed.	328.94216627393985	1.0	1907.0	1	63233		Hathi
600	Buchler, Walter,	328.9284962995545	1.0	1940.0	1	104582		Hathi
2925	Moon, G. Washington	328.795865104139	1.0	1890.0	1	78164		Hathi
1367	Field, Julian Osgood,	328.77615045484157	2.0	1892.0	2	169901		Hathi
3605	Schlötel, A. E.	328.7132300604372	1.0	1888.0	1	77271		Hathi
3096	O'Reilly, John Boyle,	328.6896539303187	1.0	1909.0	1	111047		Hathi
3693	Sidgwick, Cecily Ullman,	328.68112995242586	1.0	1918.0	1	101314		Hathi
2713	Markovits, Rodion,	328.4092599018488	1.0	1929.0	1	161384		Hathi
3854	Stendhal,	328.1167342085193	3.0	1913.3333333333333	3	688562		Hathi
3165	Parker, Gilbert,	327.77240125487606	7.0	1915.0	7	884994		Hathi
213	Bailey, Florence M.	327.6674175711648	1.0	1905.0	1	53713		Hathi
3782	Somadeva Bhaṭṭa,	327.53280898375755	1.0	1909.0	1	44881		Hathi
3310	Price, Nancey.	327.4784161952959	1.0	1936.0	1	60462		Hathi
1175	Doyle, Arthur Conan,	327.263630431187	16.0	1900.75	16	1615798		Hathi
1034	Davies, Norman de Garis,	327.2436805895536	1.0	1903.0	1	38809		Hathi
602	Buckle, Elizabeth Braithwaite (Turner)]	327.1812080536915	1.0	1915.0	1	11920		Hathi
1230	Eady, K. M.	326.97066101095817	1.0	1907.0	1	56580		Hathi
2757	Mather, E. J.	326.9305485799833	1.0	1914.0	1	105527		Hathi
851	Collins, Mortimer,	326.8162356017545	3.0	1882.0	3	354011		Hathi
2379	Laffan, May.	326.7246091012061	3.0	1884.3333333333333	3	468502		Hathi
3475	Roberts, Margaret,	326.66128811527165	2.0	1902.0	2	271065		Hathi
2175	James, Margaret Ellen.	326.6372693124288	1.0	1892.0	1	36738		Hathi
3502	Rolfe, Frederick,	326.5582380346145	3.0	1913.3333333333333	3	320079		Hathi
2553	Louÿs, Pierre,	326.4057120999623	1.0	1908.0	1	39215		Hathi
1450	Fox-Davies, Arthur Charles,	326.1655816400346	1.0	1906.0	1	76035		Hathi
3346	Putnam Weale, B. L.	325.9386769134061	3.0	1913.0	3	367217		Hathi
1517	Gardiner, A. G.	325.8965744967993	1.0	1916.0	1	69654		Hathi
4008	Tetley, William C.	325.6145975528811	1.0	1921.0	1	79849		Hathi
4103	Trueba, Antonio de,	325.59344161781854	1.0	1895.0	1	189193		Hathi
386	Bevan, Tom,	325.2469981867631	2.0	1899.5	2	134904		Hathi
3582	Sanborn, Pitts,	325.1690400818675	1.0	1929.0	1	104561		Hathi
236	Balzac, Honoré de,	325.1396286956401	4.0	1921.5	4	436447		Hathi
758	Chesney, F. R.	325.12469641971	1.0	1889.0	1	76586		Hathi
1660	Grand, Gordon.	325.0257100415174	1.0	1934.0	1	78763		Hathi
1270	Ellis, A. B.	324.7924936845912	1.0	1887.0	1	58191		Hathi
3337	Pugh, Edwin,	324.61309951607643	1.0	1912.0	1	83484		Hathi
418	Black, William,	324.59866662933933	23.0	1889.3478260869565	23	1897624		Hathi
4121	Twain, Mark,	324.147573431025	6.0	1892.0	6	580167		Hathi
4139	Van Wart, Irving.	324.0154913915406	1.0	1880.0	1	52158		Hathi
4434	Youngman, William Ernest.	323.8592420726985	1.0	1882.0	1	62064		Hathi
1345	Favenc, Ernest,	323.8171615764652	2.0	1896.0	2	121396		Hathi
1052	Dàuli, Gian,	323.6967102562594	1.0	1937.0	1	170530		Hathi
1044	Dawson, A. J.	323.65735558070605	4.0	1907.0	4	401067		Hathi
593	Bryusov, Valery Yakovlevich,	323.46792826493544	1.0	1913.0	1	45445		Hathi
3823	Stables, Gordon,	323.4054388969567	10.0	1896.6	10	963220		Hathi
4485	Čapek, Karel,	323.38119788143547	2.0	1933.5	2	126444		Hathi
2643	Mackellar, Dorothea.	323.2536469113601	1.0	1912.0	1	121267		Hathi
376	Berkekey, George Charles Grantley Fitzhardinge,	323.1838947738351	1.0	1897.0	1	159352		Hathi
2670	Majendie, Margaret,	323.1481813938453	1.0	1887.0	1	55702		Hathi
550	Brontë, Patrick Branwell,	323.1244731666196	1.0	1924.0	1	28472		Hathi
3901	Straus, Ralph,	322.9916544562679	1.0	1906.0	1	156970		Hathi
1701	Gregory,	322.88294666697686	4.0	1908.5	4	291213		Hathi
281	Barry, John Arthur,	322.77587250353014	1.0	1914.0	1	104097		Hathi
2780	Maurice, Frederick Denison,	322.75161573572507	1.0	1880.0	1	126413		Hathi
1920	Hennessey, David,	322.7466499078791	3.0	1907.6666666666667	3	291024		Hathi
2214	Jessopp, Augustus,	322.4187866302423	2.0	1894.5	2	46402		Hathi
2584	Lynch, Edward Melville.	322.4106395511059	1.0	1896.0	1	64514		Hathi
2695	Manning, Anne,	322.3494254976449	7.0	1899.5714285714287	7	486556		Hathi
1519	Garibaldi, Giuseppe,	322.3449520780508	1.0	1880.0	1	46534		Hathi
2633	Machar, J. S.,	322.0864920067569	1.0	1921.0	1	76377		Hathi
3737	Skrine, Mary J. H.	322.0664837241409	1.0	1917.0	1	60857		Hathi
438	Bliss, Douglas Percy,	321.87417042739617	1.0	1934.0	1	30136		Hathi
1028	Davidson, John,	321.847544341459	9.0	1895.111111111111	9	517238		Hathi
575	Browne, Charles Robert.	321.51344298960885	1.0	1929.0	1	64383		Hathi
3030	Neumann, Alfred,	321.31831161832355	1.0	1940.0	1	198557		Hathi
3201	Peattie, Donald Culross,	321.20730392743855	1.0	1932.0	1	91841		Hathi
3286	Potter, Beatrix,	321.1443013322617	3.0	1905.3333333333333	3	4722		Hathi
3994	Taylor, Susette M.	321.0809726077778	1.0	1894.0	1	119596		Hathi
4078	Traven, B.	321.05794141389686	2.0	1934.5	2	196597		Hathi
951	Crockett, S. R.	320.8243257085926	27.0	1902.4814814814815	27	3048275		Hathi
2017	Holt, William,	320.5896452540745	1.0	1935.0	1	33376		Hathi
1578	Gilbert, Rosa M.	320.5756758059279	2.0	1897.0	2	202755		Hathi
